accession,taxid,species_taxid,genus_taxid
GCF_013046825.1,154288,154288,191303
GCF_016592575.1,981385,981385,1172428
GCF_000024825.1,150340,150340,662
GCF_002214395.1,190895,190895,662
GCF_008369605.1,666,666,662
GCF_009601765.2,2662262,2662262,662
GCF_011304355.1,2714949,2714949,46255
GCF_014879975.1,2777577,2777577,662
GCF_019977755.1,104609,104609,662
GCF_024347535.1,170673,170673,662
GCF_900187285.1,248315,248315,29465
GCF_900637795.1,1014,1014,1013
GCF_000252955.1,406817,628,626
GCF_001677435.1,1548547,1548547,1738655
GCF_002285515.1,56454,56454,338
GCF_009831415.1,2607663,2607663,629
GCF_012030695.1,96495,96495,953
GCF_012277295.1,2732593,2732593,953
GCF_013365455.1,1812115,1812115,953
GCF_013388375.1,359385,339,338
GCF_018467135.1,260917,260917,953
GCF_905367715.1,195709,56448,338
GCF_000973105.1,63186,63186,112040
GCF_003610015.1,33074,33074,33073
GCF_013282725.1,349967,33060,629
GCF_014268695.2,1114970,1114970,286
GCF_000006765.1,208964,287,286
GCF_000006945.2,99287,28901,590
GCF_000196035.1,169963,1639,1637
GCF_000393015.1,1169293,1351,1350
